eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
buyers also snapped up 16 other items that were put up for auction by hendrix 's former girlfriend kathy etchingham , who lived with him from 1966 to 1969 .|||O O O O O O O O O O O O O O B-PER O O O B-PER I-PER O O O O O O O O O O
they included a black lacquer and mother of pearl inlaid box used by hendrix to store his drugs , which an anonymous australian purchaser bought for 5,060 pounds ( $ 7,845 ) .|||O O O O O O O O O O O O O B-PER O O O O O O O O B-MISC O O O O O O O O O O
the guitarist died of a drugs overdose in 1970 aged 27 .|||O O O O O O O O O O O O
china says taiwan spoils atmosphere for talks .|||B-LOC O B-LOC O O O O O
beijing 1996-08-22|||B-LOC O
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing .|||B-LOC O O O B-LOC O O O O O O O O O O O B-LOC I-LOC O O O O B-LOC O B-MISC O O B-PER I-PER O O O O B-LOC O
speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : " the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . "|||O O O O B-MISC O O O O O O O O O O O O O B-LOC O B-ORG I-ORG O B-PER I-PER O B-ORG O O O O O O O O O O O O O O O O B-LOC O O O
state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .|||O O O B-LOC O O O O B-LOC O B-PER I-PER O O O O O O O B-LOC O O O O O O O O O O O O O O
" now is the time for the two sides to engage in political talks ...|||O O O O O O O O O O O O O O O
that is to end the state of hostility , " thursday 's overseas edition of the people 's daily quoted tang as saying .|||O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-PER O O O
the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province .|||O O O O B-ORG O B-ORG I-ORG O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O B-LOC O O B-LOC O O O O O
china , which has long opposed all taipei efforts to gain greater international recognition , was infuriated by a visit to ukraine this week by taiwanese vice president lien .|||B-LOC O O O O O O B-LOC O O O O O O O O O O O O O B-LOC O O O B-MISC O O B-PER O
china says time right for taiwan talks .|||B-LOC O O O O B-LOC O O
beijing 1996-08-22|||B-LOC O
china has said it was time for political talks with taiwan and that the rival island should take practical steps towards that goal .|||B-LOC O O O O O O O O O B-LOC O O O O O O O O O O O O O
consultations should be held to set the time and format of the talks , the official xinhua news agency quoted tang shubei , executive vice chairman of the association for relations across the taiwan straits , as saying late on wednesday .|||O O O O O O O O O O O O O O O O B-ORG O O O B-PER I-PER O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O
german july car registrations up 14.2 pct yr / yr .|||B-MISC O O O O O O O O O O
frankfurt 1996-08-22|||B-LOC O
german first-time registrations of motor vehicles jumped 14.2 percent in july this year from the year-earlier period , the federal office for motor vehicles said on thursday .|||B-MISC O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O
the office said 356,725 new cars were registered in july 1996 -- 304,850 passenger cars and 15,613 trucks .|||O O O O O O O O O O O O O O O O O O O
the figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from july 1995 .|||O O O O O O O O O O O O O O O O O O O O O
motor-bike registration rose 32.7 percent in the period .|||O O O O O O O O O
the growth was partly due to an increased number of germans buying german cars abroad , while manufacturers said that domestic demand was weak , the federal office said .|||O O O O O O O O O O B-MISC O B-MISC O O O O O O O O O O O O O O O O O
almost all german car manufacturers posted gains in registration numbers in the period .|||O O B-MISC O O O O O O O O O O O
volkswagen ag won 77,719 registrations , slightly more than a quarter of the total .|||B-ORG I-ORG O O O O O O O O O O O O O
opel ag together with general motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .|||B-ORG I-ORG O O B-ORG I-ORG O O O O O O O O O O O O O O O
third was ford with 35,563 registrations , or 11.7 percent .|||O O B-ORG O O O O O O O O
only seat and porsche had fewer registrations in july 1996 compared to last year 's july .|||O B-ORG O B-ORG O O O O O O O O O O O O O
seat posted 3,420 registrations compared with 5522 registrations in july a year earlier .|||B-ORG O O O O O O O O O O O O O
porsche 's registrations fell to 554 from 643 .|||B-ORG O O O O O O O O
greek socialists give green light to pm for elections .|||B-MISC O O O O O O O O O
athens 1996-08-22|||B-LOC O
the greek socialist party 's executive bureau gave the green light to prime minister costas simitis to call snap elections , its general secretary costas skandalidis told reporters .|||O B-MISC O O O O O O O O O O O O B-PER I-PER O O O O O O O O B-PER I-PER O O O
prime minister costas simitis is going to make an official announcement after a cabinet meeting later on thursday , said skandalidis .|||O O B-PER I-PER O O O O O O O O O O O O O O O O B-PER O
-- dimitris kontogiannis , athens newsroom +301 3311812-4|||O B-PER I-PER O B-ORG I-ORG O O
bayervb sets c$ 100 million six-year bond .|||B-ORG O B-MISC O O O O O
london 1996-08-22|||B-LOC O
the following bond was announced by lead manager toronto dominion .|||O O O O O O O O B-PER I-PER O
borrower bayerische vereinsbank|||O B-ORG I-ORG
amt c$ 100 mln coupon 6.625 maturity 24.sep.02|||O B-MISC O O O O O O
type straight iss price 100.92 pay date 24.sep.96|||O O O O O O O O
full fees 1.875 reoffer 99.32 spread +20 bp|||O O O O O O O O
moody aa1 listing lux pay freq =|||O O O O O O O
s&p = denoms ( k ) 1-10-100 sale limits us / uk / ca|||B-ORG O O O O O O O O B-LOC O B-LOC O B-LOC
neg plg no crs deflt no force maj =|||O O O O O O O O O
gov law german home ctry = tax provs standard|||O O B-MISC O O O O O O
mgt / und 0.275 sell conc 1.60 praecip =|||O O O O O O O O O
underlying govt bond 7.0 pct sept 2001|||O O O O O O O
notes bayerische vereinsbank is joint lead manager|||O B-ORG I-ORG O O O O
-- london newsroom +44 171 542 7658|||O B-ORG I-ORG O O O O
venantius sets $ 300 million january 1999 frn .|||B-ORG O O O O O O O O
london 1996-08-22|||B-LOC O
the following floating-rate issue was announced by lead manager lehman brothers international .|||O O O O O O O O O B-ORG I-ORG I-ORG O
borrower venantius ab ( swedish national mortgage agency )|||O B-ORG I-ORG O B-MISC O O O O
amt $ 300 mln spread - 12.5 bp maturity 21.jan.99|||O O O O O O O O O O
type frn base 3m libor pay date s23.sep.96|||O O O B-ORG O O O O
last moody aa3 iss price 99.956 full fees 10 bp|||O O O O O O O O O O
last s&p aa+ reoffer =|||O B-ORG O O O
notes s short first coupon|||O O O O O
listing london denoms ( k ) 1-10-100 sale limits us / uk / jp / fr|||O B-LOC O O O O O O O B-LOC O B-LOC O B-LOC O B-LOC
neg plg yes crs deflt no force maj ipma 2|||O O O O O O O O O O
gov law english home ctry sweden tax provs standard|||O O B-MISC O O B-LOC O O O
mgt / und 5 bp sell conc 5 bp praecip =|||O O O O O O O O O O O
notes issued off emtn programme|||O O O O O
-- london newsroom +44 171 542 8863|||O B-ORG I-ORG O O O O
port conditions update - syria - lloyds shipping .|||O O O O B-LOC O B-ORG I-ORG O
port conditions from lloyds shipping intelligence service --|||O O O B-ORG I-ORG I-ORG I-ORG O
lattakia , aug 10 - waiting time at lattakia and tartous presently 24 hours .|||B-LOC O O O O O O O B-LOC O B-LOC O O O O
israel plays down fears of war with syria .|||B-LOC O O O O O O B-LOC O
colleen siegel|||B-PER I-PER
jerusalem 1996-08-22|||B-LOC O
israel 's outgoing peace negotiator with syria said on thursday current tensions between the two countries appeared to be a storm in a teacup .|||B-LOC O O O O O B-LOC O O O O O O O O O O O O O O O O O O
itamar rabinovich , who as israel 's ambassador to washington conducted unfruitful negotiations with syria , told israel radio it looked like damascus wanted to talk rather than fight .|||B-PER I-PER O O O B-LOC O O O B-LOC O O O O B-LOC O O B-ORG I-ORG O O O B-LOC O O O O O O O
" it appears to me the syrian priority is still to negotiate .|||O O O O O O B-MISC O O O O O O
the syrians are confused , they are definitely tense , but the general assessment here in washington is that this is essentially a storm in a teacup , " he said .|||O B-MISC O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O
rabinovich is winding up his term as ambassador .|||B-PER O O O O O O O O
he will be replaced by eliahu ben-elissar , a former israeli envoy to egypt and right-wing likud party politician .|||O O O O O B-PER I-PER O O O B-MISC O O B-LOC O O B-ORG O O O
israel on wednesday sent syria a message , via washington , saying it was committed to peace and wanted to open negotiations without preconditions .|||B-LOC O O O B-LOC O O O O B-LOC O O O O O O O O O O O O O O O
but it slammed damascus for creating what it called a dangerous atmosphere .|||O O O B-LOC O O O O O O O O O
syria accused israel on wednesday of launching a hysterical campaign against it after israeli television reported that damascus had recently test fired a missile .|||B-LOC O B-LOC O O O O O O O O O O B-MISC O O O B-LOC O O O O O O O
it said its arms purchases were for defensive purposes .|||O O O O O O O O O O
" the message that we sent to ( syrian president hafez al- ) assad is that israel is ready at any time without preconditions to enter peace negotiations , " israeli foreign minister david levy told israel radio in an interview .|||O O O O O O O O B-MISC O B-PER I-PER O B-PER O O B-LOC O O O O O O O O O O O O O B-MISC O O B-PER I-PER O B-ORG I-ORG O O O O
tension has mounted since israeli prime minister benjamin netanyahu took office in june vowing to retain the golan heights israel captured from syria in the 1967 middle east war .|||O O O O B-MISC O O B-PER I-PER O O O O O O O O B-LOC I-LOC B-LOC O O B-LOC O O O B-LOC I-LOC O O
israeli-syrian peace talks have been deadlocked over the golan since 1991 despite the previous government 's willingness to make golan concessions .|||B-MISC O O O O O O O B-LOC O O O O O O O O O O B-LOC O O
peace talks between the two sides were last held in february .|||O O O O O O O O O O O O
" the voices coming out of damascus are bad , not good .|||O O O O O O B-LOC O O O O O O
the media ...|||O O O
are full of expressions and declarations that must be worrying ...|||O O O O O O O O O O O
this artificial atmosphere is very dangerous because those who spread it could become its prisoners , " levy said .|||O O O O O O O O O O O O O O O O O B-PER O O
" we expect from syria , if its face is to peace , that it will answer israel 's message to enter peace negotiations because that is our goal , " he said . "|||O O O O B-LOC O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O
we do not want a war , god forbid .|||O O O O O O O B-PER O O
no one benefits from wars . "|||O O O O O O O
israel 's channel two television said damascus had sent a " calming signal " to israel .|||B-LOC O B-ORG I-ORG O O B-LOC O O O O O O O O B-LOC O
it gave no source for the report .|||O O O O O O O O
netanyahu and levy 's spokesmen said they could not confirm it .|||B-PER O B-PER O O O O O O O O O
the television also said that netanyahu had sent messages to reassure syria via cairo , the united states and moscow .|||O O O O O B-PER O O O O O B-LOC O B-LOC O O B-LOC I-LOC O B-LOC O
polish diplomat denies nurses stranded in libya .|||B-MISC O O O O O B-LOC O
tunis 1996-08-22|||B-LOC O
a polish diplomat on thursday denied a polish tabloid report this week that libya was refusing exit visas to 100 polish nurses trying to return home after working in the north african country .|||O B-MISC O O O O O B-MISC O O O O O B-LOC O O O O O O B-MISC O O O O O O O O O B-MISC I-MISC O O
" this is not true .|||O O O O O O
up to today , we have no knowledge of any nurse stranded or kept in libya without her will , and we have not received any complaint , " the polish embassy 's charge d'affaires in tripoli , tadeusz awdankiewicz , told reuters by telephone .|||O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O B-MISC O O O O O B-LOC O B-PER I-PER O O B-ORG O O O
poland 's labour ministry said this week it would send a team to libya to investigate , but awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries .|||B-LOC O O O O O O O O O O O O B-LOC O O O O B-PER O O O O O O O O O O O O O O O O O O O O
he said that there are an estimated 800 polish nurses working in libya .|||O O O O O O O O B-MISC O O O B-LOC O
two iranian opposition leaders meet in baghdad .|||O B-MISC O O O O B-LOC O
hassan hafidh|||B-PER I-PER
baghdad 1996-08-22|||B-LOC O
an iranian exile group based in iraq vowed on thursday to extend support to iran 's kurdish rebels after they were attacked by iranian troops deep inside iraq last month .|||O B-MISC O O O O B-LOC O O O O O O O B-LOC O B-MISC O O O O O O B-MISC O O O B-LOC O O O
a mujahideen khalq statement said its leader massoud rajavi met in baghdad the secretary-general of the kurdistan democratic party of iran ( kdpi ) hassan rastegar on wednesday and voiced his support to iran 's rebel kurds .|||O B-ORG I-ORG O O O O B-PER I-PER O O B-LOC O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O B-PER I-PER O O O O O O O B-LOC O O B-MISC O
" rajavi emphasised that the iranian resistance would continue to stand side by side with their kurdish compatriots and the resistance movement in iranian kurdistan , " it said .|||O B-MISC O O O B-MISC B-ORG O O O O O O O O O B-MISC O O O O O O B-LOC I-LOC O O O O O
a spokesman for the group said the meeting " signals a new level of cooperation between mujahideen khalq and the iranian kurdish oppositions " .|||O O O O O O O O O O O O O O O O B-ORG I-ORG O O B-MISC I-MISC O O O
iran heavily bombarded targets in northern iraq in july in pursuit of kdpi guerrillas based in iraqi kurdish areas outside the control of the government in baghdad .|||B-LOC O O O O O B-LOC O O O O O B-ORG O O O B-MISC I-MISC O O O O O O O O B-LOC O
iraqi kurdish areas bordering iran are under the control of guerrillas of the iraqi kurdish patriotic union of kurdistan ( puk ) group .|||B-MISC I-MISC O O B-LOC O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O
puk and iraq 's kurdistan democratic party ( kdp ) the two main iraqi kurdish factions , have had northern iraq under their control since iraqi forces were ousted from kuwait in the 1991 gulf war .|||B-ORG O B-LOC O B-ORG I-ORG I-ORG O B-ORG O O O O B-MISC I-MISC O O O O O B-LOC O O O O B-MISC O O O O B-LOC O O O B-MISC I-MISC O
clashes between the two parties broke out at the weekend in the most serious fighting since a u.s.-sponsored ceasefire last year .|||O O O O O O O O O O O O O O O O O B-MISC O O O O
mujahideen khalq said iranian troops had also been shelling kdp positions in qasri region in suleimaniya province near the iranian border over the last two days .|||B-ORG I-ORG O B-MISC O O O O O B-ORG O O B-LOC O O B-LOC O O O B-MISC O O O O O O O
it said about 100 iraqi kurds were killed or wounded in the attack .|||O O O O B-MISC I-MISC O O O O O O O O
both iran and turkey mount air and land strikes at targets in northern iraq in pursuit of their own kurdish rebels .|||O B-LOC O B-LOC O O O O O O O O O B-LOC O O O O O B-MISC O O
a u.s.-led air force in southern turkey protects iraqi kurds from possible attacks by baghdad troops .|||O B-MISC O O O O B-LOC O B-MISC I-MISC O O O O B-LOC O O
saudi riyal rates steady in quiet summer trade .|||B-MISC O O O O O O O O
manama 1996-08-22|||B-LOC O
the spot saudi riyal against the dollar and riyal interbank deposit rates were mainly steady this week in quiet summer trade , dealers in the kingdom said .|||O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
" there were no changes in saudi riyal rates .|||O O O O O O B-MISC O O O
the market was very quiet because of summer holidays , " one dealer said .|||O O O O O O O O O O O O O O O
the spot riyal was put at 3.7504 / 06 to the dollar .|||O O O O O O O O O O O O O
one-month interbank deposits were at 5-1/2 , 3/8 percent , three months were 5-5/8 , 1/2 percent and six months were 5-3/4 , 5/8 percent .|||B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
one-year funds were at six , 5-7/8 percent .|||B-MISC O O O O O O O O
israel approves arafat 's flight to west bank .|||B-LOC O B-PER O O O B-LOC I-LOC O
jerusalem 1996-08-22|||B-LOC O
israel gave palestinian president yasser arafat permission on thursday to fly over its territory to the west bank , ending a brief israeli-plo crisis , an arafat adviser said .|||B-LOC O B-MISC O B-PER I-PER O O O O O O O O O O B-LOC I-LOC O O O O B-MISC O O O B-PER O O O
" the problem is over .|||O O O O O O
the president 's aircraft has received permission to pass through israeli airspace but the president is not expected to travel to the west bank before monday , " nabil abu rdainah told reuters .|||O O O O O O O O O O B-MISC O O O O O O O O O O O B-LOC I-LOC O O O O B-PER I-PER I-PER O B-ORG O
arafat had been scheduled to meet former israeli prime minister shimon peres in the west bank town of ramallah on thursday but the venue was changed to gaza after israel denied flight clearance to the palestinian leader 's helicopters .|||B-PER O O O O O O B-MISC O O B-PER I-PER O O B-LOC I-LOC O O B-LOC O O O O O O O O B-LOC O B-LOC O O O O O B-MISC O O O O
palestinian officials accused right-wing prime minister benjamin netanyahu of trying to stop the ramallah meeting by keeping arafat grounded .|||B-MISC O O O O O B-PER I-PER O O O O O B-LOC O O O B-PER O O
arafat subsequently cancelled a meeting between israeli and plo officials , on civilian affairs , at the allenby bridge crossing between jordan and the west bank .|||B-PER O O O O O B-MISC O B-ORG O O O O O O O O B-LOC I-LOC O O B-LOC O O B-LOC I-LOC O
abu rdainah said arafat had decided against flying to the west bank on thursday , after israel lifted the ban , because he had a busy schedule in gaza and would not be free until monday .|||B-PER I-PER O B-PER O O O O O O B-LOC I-LOC O O O O B-LOC O O O O O O O O O O O B-LOC O O O O O O O O
arafat to meet peres in gaza after flight ban .|||B-PER O O B-PER O B-LOC O O O O
jerusalem 1996-08-22|||B-LOC O
yasser arafat will meet shimon peres in gaza on thursday after palestinians said the right-wing israeli government had barred the palestinian leader from flying to the west bank for talks with the former prime minister .|||B-PER I-PER O O B-PER I-PER O B-LOC O O O B-MISC O O O B-MISC O O O O B-MISC O O O O O B-LOC I-LOC O O O O O O O O
" the meeting between peres and arafat will take place at erez checkpoint in gaza and not in ramallah as planned , " peres ' office said .|||O O O O B-PER O B-PER O O O O B-LOC O O B-LOC O O O B-LOC O O O O B-PER O O O O
palestinian officials said the israeli government had barred arafat from overflying israel in a palestinian helicopter to the west bank in an attempt to bar the meeting with peres .|||B-MISC O O O B-MISC O O O B-PER O O B-LOC O O B-MISC O O O B-LOC I-LOC O O O O O O O O B-PER O
israeli prime minister benjamin netanyahu has accused opposition leader peres , who he defeated in may elections , of trying to undermine his likud government 's authority to conduct peace talks .|||B-MISC O O B-PER I-PER O O O O B-PER O O O O O O O O O O O O O B-ORG O O O O O O O O
afghan uae embassy says taleban guards going home .|||B-MISC B-LOC O O B-MISC O O O O
hilary gush|||B-PER I-PER
dubai 1996-08-22|||B-LOC O
three afghan guards brought to the united arab emirates last week by russian hostages who escaped from the taleban militia will return to afghanistan in a few days , the afghan embassy in abu dhabi said on thursday .|||O B-MISC O O O O B-LOC I-LOC I-LOC O O O B-MISC O O O O O B-MISC O O O O B-LOC O O O O O O B-MISC O O B-LOC I-LOC O O O O
" our ambassador is in touch with the uae foreign ministry .|||O O O O O O O O B-LOC O O O
their return to afghanistan will take place in two or three days , " an embassy official said .|||O O O B-LOC O O O O O O O O O O O O O O O
" the embassy is issuing them travel documents for their return to their homeland .|||O O O O O O O O O O O O O O O
there is no objection to their travel , " he added .|||O O O O O O O O O O O O
the three islamic taleban guards were overpowered by seven russian aircrew who escaped to uae state sharjah last friday on board their own aircraft after a year in the captivity of taleban militia in kandahar in southern afghanistan .|||O O B-MISC I-MISC O O O O O B-MISC O O O O B-LOC O B-LOC O O O O O O O O O O O O O O B-MISC O O B-LOC O O B-LOC O
the uae said on monday it would hand over the three to the international red crescent , possibly last tuesday .|||O B-LOC O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O
it has since been silent on the issue .|||O O O O O O O O O
when asked whether the three guards would travel back to kandahar or the afghan capital kabul , the embassy official said : " that has not been decided , but possibly kandahar . "|||O O O O O O O O O O B-LOC O O B-MISC O B-LOC O O O O O O O O O O O O O O O B-LOC O O
kandahar is the headquarters of the opposition taleban militia .|||B-LOC O O O O O O B-MISC O O
kabul is controlled by president burhanuddin rabbani 's government , which taleban is fighting to overthrow .|||B-LOC O O O O B-PER I-PER O O O O B-MISC O O O O O
the embassy official said the three men , believed to be in their 20s , were currently in abu dhabi .|||O O O O O O O O O O O O O O O O O O B-LOC I-LOC O
he did not elaborate .|||O O O O O
the russians , working for the aerostan firm in the russian republic of tatarstan , were taken hostage after a taleban mig-19 fighter forced their cargo plane to land in august 1995 .|||O B-MISC O O O O B-ORG O O O B-MISC O O B-LOC O O O O O O B-MISC B-MISC O O O O O O O O O O O
taleban said its shipment of ammunition from albania was evidence of russian military support for rabbani 's government .|||B-MISC O O O O O O B-LOC O O O B-MISC O O O B-PER O O O
moscow said the crew 's nationality was coincidental .|||B-LOC O O O O O O O O
numerous diplomatic attempts to free the seven failed .|||O O O O O O O O O
the russians , who said they overpowered the guards -- two armed with kalashnikov automatic rifles -- while doing regular maintenance work on their ilyushin 76 cargo plane last friday , left the uae capital abu dhabi for home on sunday .|||O B-MISC O O O O O O O O O O O B-MISC O O O O O O O O O O B-MISC I-MISC O O O O O O O B-LOC O B-LOC I-LOC O O O O O
iraq 's saddam meets russia 's zhirinovsky .|||B-LOC O B-PER O B-LOC O B-PER O
baghdad 1996-08-22|||B-LOC O
iraqi president saddam hussein has told visiting russian ultra-nationalist vladimir zhirinovsky that baghdad wanted to maintain " friendship and cooperation " with moscow , official iraqi newspapers said on thursday .|||B-MISC O B-PER I-PER O O O B-MISC O B-PER I-PER O B-LOC O O O O O O O O O B-LOC O O B-MISC O O O O O
" president saddam hussein stressed during the meeting iraq 's keenness to maintain friendship and cooperation with russia , " the papers said .|||O O B-PER I-PER O O O O B-LOC O O O O O O O O B-LOC O O O O O O
they said zhirinovsky told saddam before he left baghdad on wednesday that his liberal democratic party and the russian duma ( parliament ) " are calling for an immediate lifting of the embargo " imposed on iraq after its 1990 invasion of kuwait .|||O O B-PER O B-PER O O O B-LOC O O O O B-ORG I-ORG I-ORG O O B-MISC B-ORG O O O O O O O O O O O O O O O O B-LOC O O O O O B-LOC O
zhirinovsky said on tuesday he would press the russian government to help end u.n. trade sanctions on iraq and blamed moscow for delaying establishment of good ties with baghdad .|||B-PER O O O O O O O B-MISC O O O O B-ORG O O O B-LOC O O B-LOC O O O O O O O B-LOC O
" our stand is firm , namely we are calling on ( the russian ) government to end the economic embargo on iraq and resume trade ties between russia and iraq , " he told reporters .|||O O O O O O O O O O O O O B-MISC O O O O O O O O B-LOC O O O O O B-LOC O B-LOC O O O O O O
zhirinovsky visited iraq twice in 1995 .|||B-PER O B-LOC O O O O
last october he was invited to attend the referendum held on iraq 's presidency , which extended saddam 's term for seven more years .|||O O O O O O O O O O O B-LOC O O O O O B-PER O O O O O O O
press digest - iraq - aug 22 .|||O O O B-LOC O O O O
baghdad 1996-08-22|||B-LOC O
these are some of the leading stories in the official iraqi press on thursday .|||O O O O O O O O O O B-MISC O O O O
reuters has not verified these stories and does not vouch for their accuracy .|||B-ORG O O O O O O O O O O O O O
thawra|||B-ORG
- iraq 's president saddam hussein meets with chairman of the russian liberal democratic party vladimir zhirinovsky .|||O B-LOC O O B-PER I-PER O O O O O B-MISC O O O B-PER I-PER O
- turkish foreign minister says turkey will take part in the baghdad trade fair that will be held in november .|||O B-MISC O O O B-LOC O O O O O B-LOC O O O O O O O O O
iraq|||B-LOC
- a shipload of 12 tonnes of rice arrives in umm qasr port in the gulf .|||O O O O O O O O O O B-LOC I-LOC O O O B-LOC O
press digest - lebanon - aug 22 .|||O O O B-LOC O O O O
beirut 1996-08-22|||B-LOC O
these are the leading stories in the beirut press on thursday .|||O O O O O O O B-LOC O O O O
reuters has not verified these stories and does not vouch for their accuracy .|||B-ORG O O O O O O O O O O O O O
an-nahar|||B-ORG
- confrontation is escalating between hizbollah and the government .|||O O O O O B-ORG O O O O
- prime minister hariri : israeli threats do no serve peace .|||O O O B-PER O B-MISC O O O O O O
as-safir|||B-ORG
- parliament speaker berri : israel is preparing for war against syria and lebanon .|||O O O B-PER O B-LOC O O O O O B-LOC O B-LOC O
- parliamentary battle in beirut ..|||O O O O B-LOC O
the three main lists have been prepared .|||O O O O O O O O
al-anwar|||B-ORG
- continued criticism of law violation incidents -- which occurred in the mount lebanon elections last sunday .|||O O O O O O O O O O O O B-LOC I-LOC O O O O
ad-diyar|||B-ORG
- financial negotiations between lebanon and pakistan .|||O O O O B-LOC O B-LOC O
- hariri to step into the election battle with an incomplete list .|||O B-PER O O O O O O O O O O O
nida'a al-watan|||B-ORG I-ORG
